rule_number,title,category,url,content_length,word_count
2.100,"Form and format of papers presented for filing in the trial courts  (a) Preemption of local rules  The Judicial Council has preempted local rules relating to the form and format of papers to be filed in the trial courts. No trial court, or any division or branch of a trial court, may enact or enforce any local rule concerning the form or format of papers.  Subd (a) adopted effective January 1, 2007.  (b) Rules prescribe form and format  The rules in this chapter prescribe the form and format of papers to be filed in the trial courts.  (Subd (b) adopted effective January 1, 2007.)  (c) Electronic format of papers  Papers that are submitted or filed electronically must meet the requirements in rule 2.256(b).  (Subd (c) adopted effective January 1, 2017.) Rule 2.100 amended effective January 1, 2017; adopted as rule 201 effective January 1, 1949; previously amended effective April 1, 1962, May 1, 1962, July 1, 1964, January 1, 1966, July 1, 1969, July 1, 1971, January 1, 1973, July 1, 1974, January 1, 1976, January 1, 1978, May 6, 1978, January 1, 1984, April 1, 1990, July 1, 1990, January 1, 1992, July 1, 1992, January 1, 1993, July 1, 1993, January 1, 1994, January 1, 1998, January 1, 1999, July 1, 1999, July 1, 2000, January 1, 2001, January 1, 2003, and January 1, 2006; previously amended and renumbered as rule 2.100 effective January 1, 2007.  CALIFORNIA RULES OF COURT   2025",,,1400,
3.1345,"Format of discovery motions  (a) Separate statement required  Any motion involving the content of a discovery request or the responses to such a request must be accompanied by a separate statement. The motions that require a separate statement include a motion: (1) To compel further responses to requests for admission; (2) To compel further responses to interrogatories; (3) To compel further responses to a demand for inspection of documents or tangible things; (4) To compel answers at a deposition; (5) To compel or to quash the production of documents or tangible things at a deposition; (6) For medical examination over objection; and (7) For issue or evidentiary sanctions.  (Subd (a) amended effective January 1, 2007; previously amended effective July 1, 1987, January 1, 1992, January 1, 1997, and July 1, 2001.)  (b) Separate statement not required  A separate statement is not required under the following circumstances: (1) When no response has been provided to the request for discovery; or (2) When a court has allowed the moving party to submit-in place of a separate statement-a concise outline of the discovery request and each response in dispute.  (Subd (b) amended effective January 1, 2020; adopted effective July 1, 2001.)  (c) Contents of separate statement  A separate statement is a separate document filed and served with the discovery motion that provides all the information necessary to understand each discovery request and all the responses to it that are at issue. The separate statement must be full and complete so that no person is required to review any other document in order to determine the full request and the full response. Material must not be incorporated into the separate statement by reference. The separate statement must include-for each discovery request (e.g., each interrogatory, request for admission, deposition question, or inspection demand) to which a further response, answer, or production is requested-the following: (1) The text of the request, interrogatory, question, or inspection demand; (2) The text of each response, answer, or objection, and any further responses or answers; (3) A statement of the factual and legal reasons for compelling further responses, answers, or production as to each matter in dispute; (4) If necessary, the text of all definitions, instructions, and other matters required to understand each discovery request and the responses to it; (5) If the response to a particular discovery request is dependent on the response given to another discovery request, or if the reasons a further response to a particular discovery request is deemed necessary are based on the response to some other discovery request, the other request and the response to it must be set forth; and (6) If the pleadings, other documents in the file, or other items of discovery are relevant to the motion, the party relying on them must summarize each relevant document.  (Subd (c) amended effective January 1, 2007; previously repealed and adopted effective July 1, 2001.)  CALIFORNIA RULES OF COURT   2025",,,3774,
8.74,"Format of electronic documents  (a) Formatting requirements applicable to all electronic documents  (1)   Text-searchable portable document format : Electronic documents must be in text-searchable portable document format (PDF) while maintaining the original document formatting. In the limited circumstances in which a document cannot practicably be converted to a text-searchable PDF, the document may be scanned or converted to non-text- searchable PDF. An electronic filer is not required to use a specific vendor, technology, or software for creation of a searchable-format document, unless the electronic filer agrees to such use. The software for creating and reading electronic documents must be in the public domain or generally available at a reasonable cost. The printing of an electronic document must not result in the loss of document text, formatting, or appearance. The electronic filer is responsible for ensuring that any document filed is complete and readable. (2)   Pagination : The electronic page counter for the electronic document must match the page number for each page of the document. The page numbering of a document filed electronically must begin with the first page or cover page as page 1 and thereafter be paginated consecutively using only arabic numerals (e.g., 1, 2, 3). The page number for the cover page may be suppressed and need not appear on the cover page. When a document is filed in both paper form and electronic form, the pagination in both versions must comply with this paragraph. (3)   Bookmarking : An electronic bookmark is a descriptive text link that appears in the bookmarks panel of an electronic document. Each electronic document must include an electronic bookmark to each heading, subheading, and the first page of any component of the document, including any table of contents, table of authorities, petition, verification, memorandum, declaration, certificate of word count, certificate of interested entities or persons, proof of service, exhibit, or attachment. Each electronic bookmark must briefly describe the item to which it is linked. For example, an electronic bookmark to a heading must provide the text of the heading, and an electronic bookmark to an exhibit or attachment must include the letter or number of the exhibit or attachment and a brief description of the exhibit or attachment. An electronic appendix must have bookmarks to the indexes and to the first page of each separate exhibit or attachment. Exhibits or attachments within an exhibit or attachment must be bookmarked. All bookmarks must be set to retain the reader's selected zoom setting. (4)   Protection of sensitive information : Electronic filers must comply with rules 1.201, 8.45, 8.46, 8.47, and 8.401 regarding the protection of sensitive information, except for those requirements exclusively applicable to paper form. (5)   Size and multiple files : An electronic filing may not be larger than 25 megabytes. This rule does not change the limitations on word count or number of pages otherwise established by the California Rules of Court for documents filed in the court. Although certain provisions in the California Rules of Court require volumes of no more than 300 pages (see, e.g., rules 8.124(d)(1), 8.144(b)(6), 8.144(g)), an electronic filing may exceed 300 pages so long as its individual components comply with the 300-page volume requirement and the electronic filing does not exceed 25 megabytes. If a document exceeds the 25-megabyte file-size limitation, the electronic filer must submit the document in more than one file, with each file 25 megabytes or less. The first file must include a master chronological and alphabetical index stating the contents for all files. Each file must have a cover page stating (a) the file number for that file and the total number of files for that document, (b) the volumes contained in that file, and (c) the page numbers contained in that file. (For example: File 2 of 4, Volumes 3-4, pp. 301-499.) In addition, each file must be paginated consecutively across all files in the document, including the cover pages for each file. (For example, if the first file ends on page 300, the cover of the second file must be page 301.) If a multiple-file document is submitted to the court in both electronic form and paper form, the cover pages for each file must be included in the paper documents. (6)   Manual Filing : (A) When an electronic filer seeks to file an electronic document consisting of more than 10 files, or when the document cannot or should not be electronically filed in multiple files, or when electronically filing the document  CALIFORNIA RULES OF COURT   2025",,,13294,
2.259,"Actions by court on receipt of electronic filing  (a) Confirmation of receipt and filing of document  (1)   Confirmation of receipt  When a court receives an electronically submitted document, the court must promptly send the electronic filer confirmation of the court's receipt of the document, indicating the date and time of receipt. A document is considered received at the date and time the confirmation of receipt is created. (2)   Confirmation of filing  If the document received by the court under (1) complies with filing requirements and all required filing fees have been paid, the court must promptly send the electronic filer confirmation that the document has been filed. The filing confirmation must indicate the date and time of filing and is proof that the document was filed on the date and at the time specified. The filing confirmation must also specify: (A) Any transaction number associated with the filing; (B) The titles of the documents as filed by the court; and (C) The fees assessed for the filing. (3)   Transmission of confirmations  The court must send receipt and filing confirmation to the electronic filer at the electronic service address the filer furnished to the court under rule 2.256(a)(4). The court must maintain a record of all receipt and filing confirmations. (4)   Filer responsible for verification  In the absence of the court's confirmation of receipt and filing, there is no presumption that the court received and filed the document. The electronic filer is responsible for verifying that the court received and filed any document that the electronic filer submitted to the court electronically.  (Subd (a) amended effective January 1, 2011; previously amended effective January 1, 2007, and January 1, 2008.)  (b) Notice of rejection of document for filing  If the clerk does not file a document because it does not comply with applicable filing requirements or because the required filing fee has not been paid, the court must promptly send notice of the rejection of the document for filing to the electronic filer. The notice must state the reasons that the document was rejected for filing.  (Subd (b) amended effective January 1, 2007.)  (c) Delayed delivery  If a technical problem with a court's electronic filing system prevents the court from accepting an electronic filing on a particular court day, and the electronic filer demonstrates that he or she attempted to electronically file the document on that day, the court must deem the document as filed on that day. This subdivision does not apply to the filing of a complaint or any other initial pleading in an action or proceeding.  (Subd (c) amended and relettered effective January 1, 2018; adopted as subd (d); previously amended effective January 1, 2007.)  (d) Endorsement  (1) The court's endorsement of a document electronically filed must contain the following: ""Electronically filed by Superior Court of California, County of ________, on _____ (date),"" followed by the name of the court clerk. (2) The endorsement required under (1) has the same force and effect as a manually affixed endorsement stamp with the signature and initials of the court clerk.  CALIFORNIA RULES OF COURT   2025",,,5079,
3.1347,"Discovery motions in summary proceeding involving possession of real property  (a) Notice  In an unlawful detainer action or other action brought under chapter 4 of title 3 of part 3 of the Code of Civil Procedure (commencing with section 1159), notice of a discovery motion must be given in compliance with Code of Civil Procedure sections 1010.6 or 1013 and 1170.8.  (Subd (a) amended effective January 1, 2016.)  (b) Opposition and reply at hearing  Any opposition to the motion and any reply to an opposition may be made orally at the time of hearing or in writing as set forth in (c).  (c) Written opposition in advance of hearing  If a party seeks to have a written opposition considered in advance of the hearing, the written opposition must be served and filed on or before the court day before the hearing. Service must be by personal delivery, electronic service, fax transmission, express mail, or other means consistent with Code of Civil Procedure sections 1010, 1010.6, 1011, 1012, and 1013, and reasonably calculated to ensure delivery to the other party or parties no later than the close of business on the court day before the hearing. The court, in its discretion, may consider written opposition filed later.  (Subd (c) amended effective January 1, 2016.) Rule 3.1347 amended effective January 1, 2016; adopted effective January 1, 2009.  CALIFORNIA RULES OF COURT   2025",,,1393,
3.1300,"Time for filing and service of motion papers  (a) In general  Unless otherwise ordered or specifically provided by law, all moving and supporting papers must be served and filed in accordance with Code of Civil Procedure section 1005 and, when applicable, the statutes and rules providing for electronic filing and service.  (Subd (a) amended effective January 1, 2016; previously amended effective January 1, 2000, and January 1, 2007.)  (b) Order shortening time  The court, on its own motion or on application for an order shortening time supported by a declaration showing good cause, may prescribe shorter times for the filing and service of papers than the times specified in Code of Civil Procedure section 1005.  (Subd (b) adopted effective January 1, 2000.)  (c) Time for filing proof of service  Proof of service of the moving papers must be filed no later than five court days before the time appointed for the hearing.  (Subd (c) amended effective January 1, 2007; adopted as subd (b); previously relettered effective January 1, 2000.)  (d) Filing of late papers  No paper may be rejected for filing on the ground that it was untimely submitted for filing. If the court, in its discretion, refuses to consider a late filed paper, the minutes or order must so indicate.  (Subd (d) amended effective January 1, 2007; adopted as subd (c) effective January 1, 1992; previously amended and relettered effective January 1, 2000.)  (e) Computation of time  A paper submitted before the close of the clerk's office to the public on the day the paper is due is deemed timely filed. Under rules 2.253(b)(7) and 2.259(c), a court may provide by local rule that a paper that is required to be filed electronically and that is received electronically by the court before midnight on a court day is deemed filed on that court day.  (Subd (e) amended effective January 1, 2016; adopted as subd (d) effective January 1, 1992; previously relettered as subd (e) effective January 1, 2000.) Rule 3.1300 amended effective January 1, 2016; adopted as rule 317 effective January 1, 1984; previously amended effective January 1, 1992, and January 1, 2000; previously amended and renumbered as rule 3.1300 effective January 1, 2007.  CALIFORNIA RULES OF COURT   2025",,,2249,
8.212,"Service and filing of briefs  (a) Time to file  (1) An appellant must serve and file its opening brief within: (A) 40 days after the record-or the reporter's transcript, after a rule 8.124 election-is filed in the reviewing court; or (B) 70 days after the filing of a rule 8.124 election, if the appeal proceeds without a reporter's transcript. (2) A respondent must serve and file its brief within 30 days after the appellant files its opening brief. (3) An appellant must serve and file its reply brief, if any, within 20 days after the respondent files its brief.  (Subd (a) amended effective January 1, 2010; previously amended effective January 1, 2007.)  (b) Extensions of time  (1) Except as otherwise provided by statute or when the time to file the brief has previously been extended under (3) or rule 8.220(d), the parties may extend each period under (a) by up to 60 days by filing one or more stipulations in the reviewing court before the brief is due. Stipulations must be signed by and served on all parties. (2) A stipulation under (1) is effective on filing. The reviewing court may not shorten a stipulated extension. (3) Before the brief is due, a party may apply to the presiding justice for an extension of each period under (a), or under rule 8.200(c)(6) or (7), on a showing that there is good cause and that: (A) The applicant was unable to obtain-or it would have been futile to seek-the extension by stipulation; or (B) The parties have stipulated to the maximum extension permitted under (1) and the applicant seeks a further extension. (4) A party need not apply for an extension or relief from default if it can file its brief within the time prescribed by rule 8.220(a). The clerk must file a brief submitted within that time if it otherwise complies with these rules.  (Subd (b) amended effective January 1, 2015; previously amended effective January 1, 2003, July 1, 2005, January 1, 2007, January 1, 2010, January 1, 2011, January 1, 2013, and January 1, 2014.)  (c) Service  (1) One copy of each brief must be served on the superior court clerk for delivery to the trial judge. (2) If a brief is not filed electronically under rules 8.70-8.79, one electronic copy of each brief must be submitted to the Court of Appeal. For purposes of this requirement, the term ""brief"" does not include a petition for rehearing or an answer thereto. (A) The copy must be a single computer file in text-searchable Portable Document Format (PDF), and it must exactly duplicate the appearance of the paper copy, including the order and pagination of all of the brief's components. By electronically submitting the copy, the filer certifies that the copy complies with these requirements and that all reasonable steps have been taken to ensure that the copy does not contain computer code, including viruses, that might be harmful to the court's system for receipt of electronic copies or to other users of that system. (B) If the brief discloses material contained in a sealed or conditionally sealed record, the party serving the brief must comply with rule 8.46(f) and include as the first page in the PDF document a cover sheet that contains the information required by rule 8.204(b)(10). (C) If it would cause undue hardship for the party filing the brief to submit an electronic copy of the brief to the Court of Appeal, the party may instead serve four paper copies of the brief on the Supreme Court. If the brief discloses material contained in a sealed or conditionally sealed record, the party serving the brief must comply with rule 8.46(f) and attach a cover sheet that contains the information required by rule 8.204(b)(10). The clerk/executive officer of the Court of Appeal must promptly notify the Supreme Court of any court order unsealing the brief. In  CALIFORNIA RULES OF COURT   2025",,,6894,
3.1350,"Motion for summary judgment or summary adjudication  (a) Definitions  As used in this rule: (1) ""Motion"" refers to either a motion for summary judgment or a motion for summary adjudication. (2) ""Material facts"" are facts that relate to the cause of action, claim for damages, issue of duty, or affirmative defense that is the subject of the motion and that could make a difference in the disposition of the motion.  (Subd (a) amended effective January 1, 2016.)  (b) Motion for summary adjudication  If made in the alternative, a motion for summary adjudication may make reference to and depend on the same evidence submitted in support of the summary judgment motion. If summary adjudication is sought, whether separately or as an alternative to the motion for summary judgment, the specific cause of action, affirmative defense, claims for damages, or issues of duty must be stated specifically in the notice of motion and be repeated, verbatim, in the separate statement of undisputed material facts.  (Subd (b) amended effective January 1, 2007; previously amended effective January 1, 2002.)  (c) Documents in support of motion  Except as provided in Code of Civil Procedure section 437c(r) and rule 3.1351, the motion must contain and be supported by the following documents: (1) Notice of motion by   [moving party]   for summary judgment or summary adjudication or both; (2) Separate statement of undisputed material facts in support of [ moving party's ] motion for summary judgment or summary adjudication or both; (3) Memorandum in support of [ moving party's ] motion for summary judgment or summary adjudication or both; (4) Evidence in support of [ moving party's ] motion for summary judgment or summary adjudication or both; and (5) Request for judicial notice in support of [ moving party's ] motion for summary judgment or summary adjudication or both (if appropriate).  (Subd (c) amended effective January 1, 2009; previously amended effective January 1, 2002, and January 1, 2007.)  (d) Separate statement in support of motion  (1) The Separate Statement of Undisputed Material Facts in support of a motion must separately identify: (A) Each cause of action, claim for damages, issue of duty, or affirmative defense that is the subject of the motion; and (B) Each supporting material fact claimed to be without dispute with respect to the cause of action, claim for damages, issue of duty, or affirmative defense that is the subject of the motion. (2) The separate statement should include only material facts and not any facts that are not pertinent to the disposition of the motion. (3) The separate statement must be in the two-column format specified in (h). The statement must state in numerical sequence the undisputed material facts in the first column followed by the evidence that establishes those undisputed facts in that same column. Citation to the evidence in support of each material fact must include reference to the exhibit, title, page, and line numbers.  (Subd (d) amended effective January 1, 2016; previously amended effective January 1, 2002, January 1, 2007, and January 1, 2008.)  CALIFORNIA RULES OF COURT   2025",,,10258,
3.1110,"General format  (a) Notice of motion  A notice of motion must state in the opening paragraph the nature of the order being sought and the grounds for issuance of the order.  (Subd (a) amended effective January 1, 2007.)  (b) Date of hearing and other information  The first page of each paper must specify immediately below the number of the case: (1) The date, time, and location, if ascertainable, of any scheduled hearing and the name of the hearing judge, if ascertainable; (2) The nature or title of any attached document other than an exhibit; (3) The date of filing of the action; and (4) The trial date, if set.  (Subd (b) amended effective January 1, 2007; previously amended effective July 1, 1997.)  (c) Pagination of documents  Documents must be consecutively paginated. The page numbering must begin with the first page and use only Arabic numerals (e.g., 1, 2, 3). The page number may be suppressed and need not appear on the first page.  (Subd (c) amended effective January 1, 2017; adopted as part of subd (b); previously amended and lettered as subd (c) effective January 1, 2007.  (d) Reference to previously filed papers  Any paper previously filed must be referred to by date of execution and title.  (Subd (d) amended and relettered effective January 1, 2007; adopted as subd (c.)  (e) Binding  For motions filed on paper, all pages of each document and exhibit must be attached together at the top by a method that permits pages to be easily turned and the entire content of each page to be read.  (Subd (e) amended effective January 1, 2016; adopted as subd (d) effective July 1, 1997; previously amended and relettered subd (e) effective January 1, 2007.)  (f) Format of exhibits  (1) An index of exhibits must be provided. The index must briefly describe the exhibit and identify the exhibit number or letter and page number. (2) Pages from a single deposition must be designated as a single exhibit. (3) Each paper exhibit must be separated by a hard 81/2 x 11 sheet with hard paper or plastic tabs extending below the bottom of the page, bearing the exhibit designation. (4) Electronic exhibits must meet the requirements in rule 2.256(b). Unless they are submitted by a self-represented party, electronic exhibits must include electronic bookmarks with links to the first page of each exhibit and with bookmark titles that identify the exhibit number or letter and briefly describe the exhibit.  (Subd (f) amended effective January 1, 2017; adopted as subd (e) effective July 1, 1997; previously amended and relettered as subd (f) effective January 1, 2007.)  (g) Translation of exhibits CALIFORNIA RULES OF COURT   2025",,,3349,
8.32,"Address and other contact information of record; notice of change  (a) Address and other contact information of record  In any case pending before the court, the court will use the mailing address, telephone number, fax number, and e-mail address that an attorney or unrepresented party provides on the first document filed in that case as the mailing address, telephone number, fax number, and e-mail address of record unless the attorney or unrepresented party files a notice under (b).  (Subd (a) amended effective January 1, 2013; adopted effective January 1, 2007.)  (b) Notice of change  (1) An attorney or unrepresented party whose mailing address, telephone number, fax number, or e-mail address changes while a case is pending must promptly serve and file a written notice of the change in the reviewing court in which the case is pending. (2) The notice must specify the title and number of the case or cases to which it applies. If an attorney gives the notice, the notice must include the attorney's California State Bar number.  (Subd (b) amended effective January 1, 2013; adopted as subd (a); previously amended and relettered effective January 1, 2007; previously amended effective July 1, 2008.)  (c) Multiple addresses or other contact information  If an attorney or an unrepresented party has more than one mailing address, telephone number, fax number, or e-mail address, only one mailing address, telephone number, fax number, or e-mail address for that attorney or unrepresented party may be used in a given case.  (Subd (c) amended and relettered effective January 1, 2013; adopted as subd (c); previously amended and relettered as subd (d) effective January 1, 2007; previously amended effective January 1, 2008, and July 1, 2008.) Rule 8.32 amended effective January 1, 2013; repealed and adopted as rule 40.5 effective January 1, 2005; previously amended and renumbered effective January 1, 2007; previously amended effective January 1, 2008, and July 1, 2008.  CALIFORNIA RULES OF COURT   2025",,,2019,
